agency,role,PL,CL,Life,score,NPS,is_easy,comments,category
3401490,Producer,Personal Lines,Commercial Lines,Life,9,Promoter,Agree,Grange is quote system is easy to navigate.  The coverage options are comprehensive and easy to explain to prospective clients and/or existing clients.  The cost estimator does frequently change upon inspection of homes.  This would be my only complaint.,User Design
4291,Customer Service Representative (CSR),Personal Lines,Commercial Lines,,10,Promoter,Strongly Agree,great staff that gets back to you quickly,
1201125,Principal,,Commercial Lines,,7,Neutral,Agree,"Rating is easy, underwriters respond promptly and endorsements are easy to pricess",Positive
1601369,Producer,Personal Lines,Commercial Lines,,10,Promoter,Agree,"I recommend your company as I find that clients are very satisfied. Grange is easy to do business with as I really like your website,",Positive
4101392,Principal,Personal Lines,,,7,Neutral,Neither Agree nor Disagree,,
1201151,Principal,Personal Lines,Commercial Lines,,9,Promoter,Agree,Grange Underwriters are available to discuss quotes that are denied or need credits. They always hear U out and make decisions based on the agents reasoning.,Positive
21201,Principal,Personal Lines,,Life,9,Neutral,Agree,systems for quoting and issuing are very good,Positive
1001620,Principal,Personal Lines,,,10,Promoter,Strongly Agree,"Grange is our anchor carrier, very much in line with our preferred competitors. Extremley easy to work with underwriters and Gainweb.",
3701147,Producer,Personal Lines,Commercial Lines,Life,6,Detractor,Agree,Pricing,Positive
2274,Producer,,,Life,5,Detractor,Neither Agree nor Disagree,we have not heard from a rep in over a year.,
3475,Producer,Personal Lines,,,8,Neutral,Somewhat Agree,rates are unreasonably high,
4101039,Customer Service Representative (CSR),,Commercial Lines,,9,Promoter,Strongly Agree,"Easy online quoting and binding process, great coverage with competitive pricing.",
4597,Customer Service Representative (CSR),Personal Lines,,,9,Promoter,Strongly Agree,Overall ease of doing business and a great relationship with our underwriter.  Great claims service.  I personally have Grange for my condo and auto insurance and my rates have been competitive and the home and auto claims experience I've had to go through went very well.  Rates are hit or miss on the HO3 product but lately have improved as well.,
21159,Producer,Personal Lines,,Life,8,Detractor,Strongly Disagree,The pricing is not competitive.,
4702,Producer,Personal Lines,,,10,Promoter,Agree,easy system to work with. Local presence is also important to clients.,Positive
1301527,Producer,Personal Lines,,,8,Detractor,Somewhat Agree,Not all processes are easy. Billing can be a problem on Mortgage billing.,
3401757,Producer,Personal Lines,Commercial Lines,,8,Promoter,Agree,The computer and person is great to work with,Positive
4221,Principal,Personal Lines,,,10,Promoter,Strongly Agree,System is easy to use and if I have a question I can quickly get an answer,
1001516,Producer,Personal Lines,,,4,Detractor,Strongly Disagree,They have cut our commissions way back and provide very little help to agencies and clients.,
1601420,Producer,,,Life,7,Promoter,Somewhat Agree,The people at Grange are top notch!!,
157,Producer,Personal Lines,Commercial Lines,,8,Neutral,Strongly Agree,based on the quoting system,
3402052,Producer,Personal Lines,,,9,Promoter,Agree,"Wesbite makes it easy to write business, and Grange has been a great partner for our agency",Positive
22126,Producer,Personal Lines,,,6,Neutral,Agree,I am pretty new and still becoming familiar with all these companies.,Positive
3701040,Principal,Personal Lines,,,10,Promoter,Strongly Agree,"From the beginning, I have felt that Grange has made it very easy to do business with the company.  They promised the EODB and it has shown through to the agent/client experience.  I feel that we as an agency have helped out community grow very comfortable with the Grange name and have been asked on many occasions to provide quotations from referrals of other Grange clients.",
1201245,Producer,Personal Lines,,,9,Detractor,Disagree,Every quote has to go to Underwriting and it takes days for me to get a response.,
4861,Other,Personal Lines,,,6,Neutral,Somewhat Agree,As an agent I feel your wire alerts are not as helpful as they should be.  Several times I have to go back to the underwriter to find out why a policy is being non-renewed.  It should show up in the policy docs along with the rest of the documents.  It's duplicating work,
4501158,Producer,Personal Lines,,,7,Detractor,Neither Agree nor Disagree,I represent numerous carriers and Grange has not stood out to me above the rest...so far....,
14072,Customer Service Representative (CSR),Personal Lines,Commercial Lines,Life,9,Promoter,Strongly Agree,"Great Underwriters, Support Staff is awesome!",
3402090,Principal,Personal Lines,,,7,Neutral,Agree,seems to flow well and issue quickly.  competitive rates.  wish consumer reports rated claims higher.,Positive
1301396,Producer,Personal Lines,,Life,9,Neutral,Agree,Grange has great packages that can be tailor made for the client,Positive
4922,Producer,Personal Lines,,,7,Neutral,Somewhat Agree,"Underwriters are fast and efficient.  Billing is good.  Getting a new product every 2 years with completely different underwriting guidelines is a little much.  We have all these different auto products, with different endorsements etc to remember.  Makes it difficult to efficiently handle client questions and/or explain coverages to them.  Also, it would be nice to have maybe a little more consistency on billing fees between policies.",
3401167,Producer,Personal Lines,,,9,Neutral,Agree,quick response time to questions,Positive
3401096,Producer,Personal Lines,,,8,Neutral,Agree,"I personally have Grange for my insurance.  they have been great with me and my claims, but a recent mutual customer of ours had a horrible claims experience.",Positive
6087,Customer Service Representative (CSR),Personal Lines,,,6,Promoter,Agree,They are very helpful and easy to talk to,Positive
2101102,Customer Service Representative (CSR),Personal Lines,,,8,Detractor,Agree,Rates are high and Grange does make it easy for me to do business with them.,Positive
6087,Principal,Personal Lines,Commercial Lines,Life,10,Detractor,Somewhat Disagree,"I CAN NOT EVEN BEGIN TO TELL MY REASONS  TOO NUMEROUS TO LIST. AS AN AGENCY WE ARE VERY FRUSTRATED THAT OUR BOOK IS SHRINKING AND WE ARE HAVING TO WORK WAY TOO HARD TO RETAIN RENEWALS. MY WORK DAY NOW IS 7:15 TO 6PM  I AM 55 YEARS OLD, TIRED AND PISSED",
22133,Producer,Personal Lines,,,6,Neutral,Agree,"I like your company but the website can be difficult to navigate and the ""hhops you need to jump through at issue can sometimes make it hard. My clients almost always buy on price so that is the main factor in any case.",Pricing
4755,Producer,,Commercial Lines,,8,Promoter,Agree,easy to make changes and quote,Positive
4959,Customer Service Representative (CSR),Personal Lines,,,9,Promoter,Strongly Agree,It's a very good company to work with.  You make quoting easy and understandable.  Thank you.,
3401833,Principal,Personal Lines,Commercial Lines,Life,5,Promoter,Somewhat Agree,Sometimes the intenet based web site has difficulty in processing changes especially on commercial BOP  policies,
21084,Other,Personal Lines,,,8,Detractor,Neither Agree nor Disagree,Your rates are not competitive in our area of coverage.,
21011,Customer Service Representative (CSR),,Commercial Lines,,10,Promoter,Somewhat Disagree,This falls mainly in the auto area. No monoline other than Auto xell with higher rates,
14013,Principal,,Commercial Lines,,7,Promoter,Agree,Do a great job with Commercial lines,Positive
1001574,Producer,Personal Lines,,,10,Promoter,Strongly Agree,"Because they're both true and I try to refer you guys as much as possible. I really like the new rating for the HO policies and how easy that is, along with the rate revision.",
6269,Customer Service Representative (CSR),Personal Lines,,,7,Neutral,Somewhat Agree,"High rates, especially with youthful drivers.",
1301822,Producer,Personal Lines,,,7,Neutral,Somewhat Agree,,
21059,Customer Service Representative (CSR),,Commercial Lines,,9,Neutral,Agree,I would have given a 9 or 10 if the rates were a bit more stable.,Positive
4501226,Customer Service Representative (CSR),Personal Lines,,,4,Detractor,Somewhat Agree,rates too high usually,
12,Producer,Personal Lines,,,8,Promoter,Agree,,
218,Producer,Personal Lines,,,10,Detractor,Strongly Agree,I have never had a problem with the website it is very easy. The only thing is that Grange's prices are very high.,
4876,Customer Service Representative (CSR),Personal Lines,,,8,Promoter,Agree,I will quote and write Grange,Positive
4207,Other,Personal Lines,,,10,Promoter,Strongly Agree,"I call into Grange frequently with mainly billing related questions. Ten times out of ten I receive excellent help and answers to any question I may have, always from a very friendly communicator. I would most definitely recommend Grange to new and upcoming clients.",
48616,Principal,Personal Lines,,,8,Promoter,Agree,,
22430,Producer,Personal Lines,Commercial Lines,Life,6,Promoter,Agree,mostly write Integrity would like home single policy not be a big up charge or get credit for any other policy,Positive
1201035,Other,Personal Lines,,,8,Neutral,Somewhat Agree,"not in the loop on updates, have a hard time getting info",
3401601,Customer Service Representative (CSR),Personal Lines,,,10,Detractor,Agree,good service,Positive
1601325,Producer,Personal Lines,,,5,Promoter,Agree,I like doing business with Grange.  The website is not very user friendly but that's the only concern I have.,User Design
22708,Principal,Personal Lines,Commercial Lines,,10,Promoter,Strongly Agree,website is easy to use and competitive for a broad range of customers,
4797,Other,Personal Lines,,,9,Neutral,Agree,Website is easy to navigate,Positive
1301822,Producer,Personal Lines,,,10,Promoter,Strongly Agree,"Grange system is easy to use. csu, uw & IT help is ready to help. rates are competitive.",
4008,Producer,Personal Lines,,,10,Promoter,Strongly Agree,"Debbie Fambrough knows her job through and through, the billing department is always helpful, and the website is easy to use.",
2101448,Principal,,Commercial Lines,,8,Promoter,Somewhat Disagree,Great company and customer service. We cannot bundle your product because of premium rates for PL.,
48294,Producer,,,Life,7,Neutral,Somewhat Agree,,
3701033,Producer,Personal Lines,Commercial Lines,Life,10,Promoter,Strongly Agree,Anytime I have a need for information and support from Grange Insurance I find the service to be excellent.  It seems people go out of their way and beyond to help me.  I would want this type of service for my friends and associates.  In my opinion Grange is a great company to do business with.,
4101116,Principal,Personal Lines,Commercial Lines,,10,Promoter,Strongly Agree,WE LIKE THE FILL-INS.,
4674,Producer,Personal Lines,Commercial Lines,Life,9,Promoter,Agree,Ease of use,Positive
21015,Customer Service Representative (CSR),Personal Lines,,,10,Promoter,Agree,"quoting in ACS not able to bridge over for some reason,",Positive
2101131,Principal,Personal Lines,,,8,Neutral,Agree,Grange is a good company its frustrating when the rates are so un competitive. We like Grange,Positive
3454,Producer,Personal Lines,,Life,9,Promoter,Agree,Their underwriting guidelines are easily understood.,Positive
2101487,Producer,Personal Lines,Commercial Lines,Life,10,Promoter,Strongly Agree,"grange made it so easy, I love the rating process",
3401517,Customer Service Representative (CSR),Personal Lines,,,10,Promoter,Agree,rates are usually very competitive  grangeagent.com is a user friendly site,Positive
4490,Principal,Personal Lines,Commercial Lines,Life,9,Promoter,Somewhat Agree,"There's been a lot of turnover at Grange for the last 6-7 years.  As claims reps and underwriters change, it actually hurts the ease of doing business.",
21322,Producer,,Commercial Lines,,5,Neutral,Neither Agree nor Disagree,"I am a new agent who has not directly dealt with Grange, but my office holds Grange in high esteem.",
3701034,Principal,,,Life,9,Neutral,Disagree,My contract with Grange auto /home has been discontinued. I still represent Grange Life,
3401640,Producer,Personal Lines,,,10,Promoter,Agree,Grange offers good coverage in the policies and Premiums can be very reasonable.,Positive
1001012,Producer,Personal Lines,Commercial Lines,Life,10,Promoter,Agree,Grange is a great company!,Positive
4959,Customer Service Representative (CSR),Personal Lines,Commercial Lines,,8,Promoter,Agree,Easy to work with,Positive
4101421,Customer Service Representative (CSR),Personal Lines,,,6,Neutral,Somewhat Agree,Similar to other carriers. Website fairly easy to navigate,
1301822,Producer,Personal Lines,,Life,10,Promoter,Strongly Agree,"The support staff has been phenomenal.  Specifically, Jake Chase, my personal lines underwriter has always been patient, professional, and available.  He is the main reason why I even quote Grange knowing if there is any kind of a hiccup he is there for me.  It never appears he is having a bad day and that makes me fell better after I call with a situation.  In addition to this, I just got my life license.  Brent Sullivan, my internal life specialist, has already received a few phone calls from me and I have received the same experience.",
4520,Principal,Personal Lines,,,9,Promoter,Agree,easy to work with most of the time,Positive
48168,Principal,,Commercial Lines,,8,Promoter,Strongly Agree,The people at Integrity are always helpful and listen to my concerns and comments regarding our clients.,
1189,Other,Personal Lines,,,9,Neutral,Agree,Grange is a very good company for personal/commercial.  Have excellent claims service & have very good competitive premiums.  Customer service easy to work with,Positive
48459,Principal,Personal Lines,,,9,Neutral,Somewhat Agree,we have a limited amount of business so far with Integrity.,
1136,Customer Service Representative (CSR),,Commercial Lines,,9,Promoter,Agree,,
3401801,Principal,Personal Lines,,,10,Promoter,Strongly Agree,,
3401214,Producer,Personal Lines,,Life,10,Promoter,Strongly Agree,Underwriting great to work with and system is user-friendly.,
157,Principal,,Commercial Lines,,10,Promoter,Agree,Grange is a fine company and has excellent customer service,Positive
45041,Producer,Personal Lines,Commercial Lines,,10,Promoter,Strongly Agree,Easy to do business with.,
6695,Producer,,Commercial Lines,,10,Promoter,Strongly Agree,the ease of doing business,
48144,Principal,Personal Lines,,,7,Detractor,Somewhat Disagree,Too many different programs.  New program asked for too many back-end items. 15 yr roof goes ACV automatically...,
2101158,Principal,Personal Lines,,,10,Promoter,Agree,Very easy program to work with,Positive
6053,Principal,,Commercial Lines,,5,Neutral,Agree,Have always had good underwriters.,Positive
4570,Customer Service Representative (CSR),Personal Lines,,,9,Promoter,Agree,Good Company,Positive
1301822,Producer,Personal Lines,,,10,Promoter,Strongly Agree,Grange Insurance has been easy to work with when starting and resolving matters with policies,
2001,Other,,Commercial Lines,,8,Promoter,Strongly Agree,They helped me through the IT portion of business development program and explained where I should be going and how to use it.  Very helpful people.,
4101202,Other,Personal Lines,,,7,Neutral,Somewhat Agree,Communication has been shaky in the past but is improving drastically thanks to our new UW Kasheena and Lindsey Peoples.,
3401024,Customer Service Representative (CSR),Personal Lines,,,8,Promoter,Agree,,
4562,Customer Service Representative (CSR),,Commercial Lines,,10,Promoter,Agree,"Grange is competitive & the underwriters are trained well,  Both of these characteristics makes it easy to do business with Grange",Positive
21030,Customer Service Representative (CSR),Personal Lines,,,10,Detractor,Strongly Disagree,BECAUSE THE RATES ARE OUTRAGEOUS IN MICHIGAN.  Grange has great customer service  and working online is awesome - the rates are just terrible.,
3401608,Other,Personal Lines,,,10,Promoter,Strongly Agree,"Easy to use systems, policy language and quoting layout.",
22194,Producer,,Commercial Lines,,8,Neutral,Agree,Better than average communication with our Underwriter.,Positive
2101571,Other,,Commercial Lines,,8,Neutral,Agree,very helpful,Positive
4501307,Producer,Personal Lines,,,10,Detractor,Somewhat Agree,Grange is a good company.,
22777,Principal,Personal Lines,,,6,Neutral,Somewhat Agree,Your technology is not always easy to use.,
1201367,Customer Service Representative (CSR),,Commercial Lines,,6,Neutral,Somewhat Agree,All good,
3701335,Other,,Commercial Lines,,5,Detractor,Neither Agree nor Disagree,we have had little contact with Grange over the past 6 months.,
4007,Customer Service Representative (CSR),Personal Lines,,,8,Promoter,Agree,Grange is a great company that we represent. Insureds are able to understand the company and coverages.,Positive
2101040,Principal,Personal Lines,,,10,Neutral,Agree,strong computerization and great claims dept,Positive
4501105,Producer,Personal Lines,,,7,Promoter,Somewhat Agree,,
3401879,Producer,Personal Lines,,,9,Promoter,Agree,"On line chat, improved products and options and rating.",Positive
6374,Customer Service Representative (CSR),Personal Lines,,,9,Neutral,Agree,Grange is easy to quote. I know that they take care of their claims and billing is easy to work with.,Positive
1601558,Principal,Personal Lines,,Life,9,Promoter,Agree,Rate and service are great.,Positive
4410,Producer,Personal Lines,,,9,Promoter,Strongly Agree,Ease of doing business!,
3402005,Other,Personal Lines,,,9,Promoter,Agree,Rates and coverages are great.  Endorsements can be somewhat confusing.,User Design
455,Customer Service Representative (CSR),,Commercial Lines,,7,Neutral,Somewhat Agree,"Although it has been better in recent months, in the recent past, it has been hard to turn around a new business quote quickly.",
48534,Producer,Personal Lines,Commercial Lines,Life,10,Promoter,Strongly Agree,Integrity has always been one of my go to companies. Good people and great products. Thanks,
3701406,Other,,Commercial Lines,,9,Promoter,Agree,Feel we have been through a number of underwriters lately.   Seems we start to build a relationship and then they change people on us.,Positive
1582,Principal,Personal Lines,Commercial Lines,Life,10,Promoter,Strongly Agree,Best agency friendly rating system out there.  For now.,
1001383,Customer Service Representative (CSR),Personal Lines,,,6,Neutral,Somewhat Agree,"If coverage and premium are competitive, we recommend Grange to clients.   Whenever I have had questions or rating issues, I have always been very graciously helped.",
1129,Customer Service Representative (CSR),Personal Lines,Commercial Lines,Life,8,Promoter,Agree,personal observation,Positive
3701025,Producer,Personal Lines,,,4,Detractor,Neither Agree nor Disagree,Website could be enhanced to make frequently used functions more accessible from the front screen. Pricing is simply too high in most cases to be competitive. Product quality and options are good.,
1201148,Producer,Personal Lines,Commercial Lines,Life,10,Promoter,Strongly Agree,The system is easy to quote and issue policies,
48796,Principal,Personal Lines,,,1,Detractor,Strongly Disagree,"kmjblbjklknmln ,hkbibkjik",
39107,Producer,Personal Lines,,,8,Neutral,Agree,,
1573,Customer Service Representative (CSR),,Commercial Lines,,10,Promoter,Strongly Agree,"Great company underwriter, coverage and website.",
1201331,Principal,Personal Lines,Commercial Lines,,9,Neutral,Somewhat Agree,Lot of declinations,
3402136,Producer,,Commercial Lines,,5,Neutral,Somewhat Agree,Grange is a newer appointment with our agency and we are still gaining a comfort level.  The biggest issue we have is underwriters missing target dates for quotes or not working on something until we only have a week or less to the target date,
4101202,Producer,Personal Lines,,,0,Detractor,Neither Agree nor Disagree,Because the rates are still not terribly competitive and I have a hard time getting my underwriter to call back.,
1001446,Principal,,Commercial Lines,,6,Promoter,Neither Agree nor Disagree,Sometimes hard to understand software.,
4003,Producer,Personal Lines,,,10,Promoter,Strongly Agree,I've been very pleased with Grange over the years.  I've been working with Grange for 28 years.,
39040,Producer,Personal Lines,,,5,Promoter,Somewhat Disagree,Price and restrictions make it difficult to place business at this time.,
4801,Producer,Personal Lines,,,10,Neutral,Agree,Grange is easy to quote business but two many times the price changes for no reason,Pricing
3401608,Producer,Personal Lines,,,10,Promoter,Agree,website/quoting systems are easy to navigate.,Positive
2101297,Principal,,Commercial Lines,,10,Promoter,Agree,You have a good user friendly rating system.,Positive
4515,Principal,Personal Lines,Commercial Lines,Life,9,Promoter,Strongly Agree,You can still contact the people at Grange and talk to them,
3458,Producer,Personal Lines,,,8,Promoter,Agree,I find it very easily to do business with Grange and do quote several times.,Positive
48211,Customer Service Representative (CSR),Personal Lines,,,10,Promoter,Strongly Agree,"Integrity looks at an individual account and will bend the rules in some cases/circumstances.  They're a ""common sense"" Insurance Co. and not strictly by the book.",
1113,Producer,Personal Lines,,,10,Promoter,Strongly Disagree,Great rates and coverage,
48159,Customer Service Representative (CSR),Personal Lines,,,6,Detractor,Somewhat Disagree,"It's always a worry when placing someone with Integrity because, if there is any claim or, violation the premiums sky rocket!",
6835,Producer,Personal Lines,,,7,Neutral,Agree,,
22726,Producer,Personal Lines,,,9,Promoter,Agree,Easy to understand.,Positive
4176,Customer Service Representative (CSR),Personal Lines,,,9,Promoter,Agree,Easy to quote and the availability of our underwriters,Positive
4559,Principal,Personal Lines,,,9,Promoter,Agree,Easier than most companies.,Positive
22119,Customer Service Representative (CSR),,Commercial Lines,,7,Detractor,Agree,"It's easy to make changes and payments online.  Quoting online is good, could be better - the pre-fills can be a bit aggravating when they don't match what the client has on paper.",Positive
4022,Customer Service Representative (CSR),Personal Lines,,,10,Detractor,Somewhat Agree,system generated rating issues that are very difficult to explain to the client; making it hard to convey that Grange is looking out for the best interest of their valued clients.,
2232,Other,Personal Lines,,,7,Neutral,Agree,Statement easy to read when reconciling,Positive
3284,Customer Service Representative (CSR),Personal Lines,Commercial Lines,Life,10,Promoter,Strongly Agree,"I have worked with Grange for years, they know how to make my job easier.",
2295,Customer Service Representative (CSR),Personal Lines,,,2,Detractor,Somewhat Disagree,Unhappy with website.  Not user friendly.,
4101031,Principal,Personal Lines,Commercial Lines,Life,9,Promoter,Agree,I believe we would write more if we had a regular mrkt rep stopping by to see us monthly to remind us of good stuff success stories etc like we used to have,Positive
4501376,Principal,Personal Lines,Commercial Lines,,10,Promoter,Strongly Agree,Great company and customer service!,
3401718,Principal,Personal Lines,Commercial Lines,Life,9,Promoter,Agree,because of their products and services,Positive
1601341,Customer Service Representative (CSR),,Commercial Lines,,7,Neutral,Agree,I can use the website and get quotes for clients quickly,Positive
4662,Principal,Personal Lines,Commercial Lines,,9,Promoter,Agree,Commercial Lines..........,Positive
4501094,Producer,Personal Lines,,,8,Promoter,Somewhat Agree,"It would be nice if when quoting, it would tell the actual due dates of the policy if bound.",
820,Customer Service Representative (CSR),,,Life,10,Promoter,Strongly Agree,"All true, I love being able to do most things online",
6165,Principal,,Commercial Lines,,8,Promoter,Somewhat Agree,Claims coverage is excellent  Underwriting can sometimes be hard to work with,
48797,Customer Service Representative (CSR),,Commercial Lines,,7,Neutral,Agree,"No major issues. GL Audits are not always broken out easily to match estimated and actual exposure premium - terrorism and contractors optimum endorsements, etc.",Positive
3401906,Principal,Personal Lines,,,9,Promoter,Strongly Agree,Rating platform easy to use Prices at this time very competative,
48347,Principal,Personal Lines,Commercial Lines,,7,Neutral,Agree,?,
